time,lat,lon,elevation,accuracy,bearing,speed
2015-02-18T08:59:52Z,22.175834,113.634082,-16.500000,10.000000,87.099998,21.250000
2015-02-18T08:59:54Z,22.175819,113.634495,-17.299999,10.000000,92.300003,21.250000
2015-02-18T08:59:57Z,22.175826,113.635082,-16.700001,10.000000,89.900002,20.750000
2015-02-18T09:00:00Z,22.175870,113.635691,-17.000000,10.000000,87.699997,21.000000
2015-02-18T09:00:03Z,22.175923,113.636294,-15.300000,11.000000,83.000000,20.500000
2015-02-18T09:00:06Z,22.175988,113.636891,-15.500000,12.000000,82.800003,20.750000
2015-02-18T09:00:09Z,22.176031,113.637530,-13.700000,12.000000,85.099998,22.500000
2015-02-18T09:00:12Z,22.176060,113.638144,-13.300000,11.000000,85.400002,21.500000
2015-02-18T09:00:15Z,22.176135,113.638753,-14.300000,12.000000,82.400002,21.500000
2015-02-18T09:00:18Z,22.176141,113.639380,-12.800000,11.000000,89.699997,21.000000
2015-02-18T09:00:21Z,22.176159,113.639993,-11.500000,11.000000,86.000000,21.000000
2015-02-18T09:00:24Z,22.176193,113.640592,-11.500000,10.000000,88.400002,21.000000
2015-02-18T09:00:27Z,22.176226,113.641210,-10.300000,11.000000,84.900002,21.250000
2015-02-18T09:00:30Z,22.176237,113.641828,-9.100000,11.000000,89.400002,22.000000
2015-02-18T09:00:33Z,22.176230,113.642439,-8.900000,11.000000,89.300003,21.000000
2015-02-18T09:00:36Z,22.176217,113.643037,-7.500000,10.000000,90.599998,21.000000
2015-02-18T09:00:33Z,22.155202,113.588511,0.000000,3518.000000,0.000000,0.000000
2015-02-18T09:00:41Z,22.176278,113.644047,-7.100000,10.000000,86.199997,20.750000
2015-02-18T09:00:38Z,22.155202,113.588511,0.000000,3518.000000,0.000000,0.000000
2015-02-18T09:00:40Z,22.155202,113.588511,0.000000,3518.000000,0.000000,0.000000
2015-02-18T09:00:47Z,22.176326,113.645279,-7.100000,10.000000,88.599998,21.250000
2015-02-18T09:00:50Z,22.176350,113.645898,-7.200000,10.000000,86.000000,21.500000
2015-02-18T09:00:53Z,22.176388,113.646515,-7.200000,10.000000,86.800003,21.500000
2015-02-18T09:00:56Z,22.176415,113.647121,-8.100000,10.000000,86.300003,21.250000
2015-02-18T09:00:58Z,22.176434,113.647536,-8.500000,10.000000,88.599998,21.250000
2015-02-18T09:01:01Z,22.176462,113.648159,-7.800000,11.000000,87.400002,21.000000
2015-02-18T09:01:04Z,22.176492,113.648778,-6.300000,10.000000,87.900002,21.250000
2015-02-18T09:01:07Z,22.176532,113.649389,-4.000000,10.000000,87.000000,21.500000
2015-02-18T09:01:10Z,22.176570,113.650015,-4.000000,10.000000,85.099998,22.000000
2015-02-18T09:01:13Z,22.176601,113.650612,-4.000000,10.000000,86.900002,21.250000
2015-02-18T09:01:16Z,22.176617,113.651221,-4.100000,10.000000,87.900002,21.000000
2015-02-18T09:01:19Z,22.176619,113.651821,-3.000000,10.000000,91.400002,21.250000
2015-02-18T09:01:22Z,22.176659,113.652438,-2.700000,10.000000,86.400002,21.500000
2015-02-18T09:01:25Z,22.176666,113.653043,-1.300000,11.000000,87.800003,21.250000
2015-02-18T09:01:28Z,22.176707,113.653664,-1.700000,11.000000,86.300003,21.250000
2015-02-18T09:01:31Z,22.176737,113.654279,-0.600000,11.000000,86.300003,21.250000
2015-02-18T09:01:34Z,22.176779,113.654888,-0.100000,11.000000,85.099998,21.000000
2015-02-18T09:01:37Z,22.176820,113.655487,0.900000,11.000000,87.500000,20.500000
2015-02-18T09:01:40Z,22.176798,113.656067,0.200000,12.000000,91.500000,20.000000
2015-02-18T09:01:43Z,22.176821,113.656690,1.300000,10.000000,85.300003,21.250000
2015-02-18T09:01:46Z,22.176850,113.657324,0.400000,10.000000,87.800003,21.250000
2015-02-18T09:01:49Z,22.176893,113.657933,2.400000,10.000000,86.300003,21.250000
2015-02-18T09:01:52Z,22.176918,113.658537,3.300000,10.000000,86.900002,21.000000
2015-02-18T09:01:55Z,22.176961,113.659147,2.400000,10.000000,85.699997,21.000000
2015-02-18T09:01:58Z,22.176975,113.659758,2.100000,10.000000,87.699997,20.750000
2015-02-18T09:02:01Z,22.177012,113.660364,2.100000,10.000000,86.000000,20.750000
2015-02-18T09:02:04Z,22.177036,113.660982,2.300000,10.000000,90.099998,20.500000
2015-02-18T09:02:07Z,22.177075,113.661606,0.800000,10.000000,83.500000,21.500000
2015-02-18T09:02:10Z,22.177107,113.662218,1.600000,10.000000,86.300003,21.250000
2015-02-18T09:02:13Z,22.177114,113.662840,1.300000,11.000000,89.400002,21.250000
2015-02-18T09:02:16Z,22.177117,113.663457,1.000000,12.000000,89.500000,21.000000
2015-02-18T09:02:19Z,22.177186,113.664057,0.600000,12.000000,84.300003,21.500000
2015-02-18T09:02:22Z,22.177160,113.664670,-0.300000,12.000000,88.500000,21.250000
2015-02-18T09:02:25Z,22.177188,113.665248,0.100000,13.000000,88.400002,20.750000
2015-02-18T09:02:28Z,22.177206,113.665894,-0.700000,11.000000,86.300003,21.250000
2015-02-18T09:02:30Z,22.177242,113.666306,-0.700000,11.000000,85.500000,22.000000
2015-02-18T09:02:33Z,22.177222,113.666915,-1.000000,12.000000,89.000000,20.750000
2015-02-18T09:02:35Z,22.177220,113.667317,-1.500000,13.000000,90.099998,21.000000
2015-02-18T09:02:38Z,22.177199,113.667907,-1.800000,13.000000,91.500000,21.000000
2015-02-18T09:02:41Z,22.177260,113.668495,-1.900000,11.000000,84.599998,21.250000
2015-02-18T09:02:44Z,22.177327,113.669085,-2.200000,11.000000,86.900002,21.000000
2015-02-18T09:02:46Z,22.177385,113.669501,-3.800000,10.000000,86.000000,21.500000
2015-02-18T09:02:49Z,22.177433,113.670118,-4.000000,10.000000,85.900002,20.500000
2015-02-18T09:02:52Z,22.177487,113.670726,-4.100000,10.000000,82.500000,21.250000
2015-02-18T09:02:55Z,22.177538,113.671347,-3.500000,10.000000,85.199997,21.250000
2015-02-18T09:02:58Z,22.177604,113.671956,-3.700000,10.000000,82.800003,21.250000
2015-02-18T09:03:01Z,22.177632,113.672578,-2.100000,10.000000,84.500000,21.250000
2015-02-18T09:03:04Z,22.177681,113.673199,-2.700000,10.000000,84.500000,22.000000
2015-02-18T09:03:07Z,22.177729,113.673801,-1.000000,10.000000,87.400002,21.250000
